Journal name,Created at,Gender,Demographics,Comment count,Comment quality,Editor experience,Professional status,Verdict,Second verdict,Response time,Time from acceptance to publication,Date of acceptance,Blurb
Journal of Ethics and Social Philosophy,2024-03-26 17:10:35 UTC,Male,White,0,,1,Non-tenure track faculty,Rejection,,2.0,,,
Philosophical Studies,2024-03-26 17:09:05 UTC,Male,White,1,1,2,Other,Rejection,,3.0,,,
Mind and Language,2024-03-26 14:02:55 UTC,Male,White,2,2,1,Adjunct,Rejection,,6.0,,,
Philosophia,2024-03-25 19:46:06 UTC,,,0,,3,Graduate student,Rejection,,4.0,,,
Synthese,2024-03-25 19:45:08 UTC,,,0,,5,Graduate student,Rejection,,0.1,,,
Erasmus Journal for Philosophy and Economics,2024-03-25 16:02:55 UTC,Male,"Hispanic/Latina/Latino, White",1,5,5,Tenured faculty,Acceptance,,2.0,,2023-12-20 00:00:00 UTC,
Journal of the American Philosophical Association,2024-03-24 22:19:43 UTC,Male,Asian,3,4,5,Graduate student,Rejection,,3.66,,,
Journal of the ame,2024-03-24 22:18:28 UTC,Male,Asian,3,4,5,Graduate student,Rejection,,3.66,,,
Nous,2024-03-24 16:12:32 UTC,Male,Middle Eastern/North African,0,,1,Graduate student,Rejection,,2.0,,,
Philosophy and Phenomenological Research,2024-03-24 16:11:48 UTC,Male,Middle Eastern/North African,0,,1,Graduate student,Rejection,,2.0,,,
Philosophy and Phenomenological Research,2024-03-24 08:18:44 UTC,Male,White,0,,2,Graduate student,Rejection,,2.0,,,
Australasian Journal of Philosophy,2024-03-21 16:13:31 UTC,Male,White,0,,2,Non-tenure track faculty,Withdraw,,13.0,,,
Philosophical Quarterly,2024-03-21 12:21:58 UTC,Male,Middle Eastern/North African,2,1,5,Other,Rejection,,0.5,,,
Acta Analytica,2024-03-21 07:02:47 UTC,Male,Asian,1,4,4,Non-tenure track faculty,Rejection,,3.0,,,
Axiomathes,2024-03-20 04:38:59 UTC,Male,Asian,1,4,4,Non-tenure track faculty,Rejection,,3.0,,,
Philosophical Studies,2024-03-18 17:40:55 UTC,Female,White,2,3,3,Tenured faculty,Revise and resubmit,Rejection,6.0,,,
Review of Metaphysics,2024-03-18 01:26:32 UTC,,,1,3,1,Non-tenure track faculty,Rejection,,12.0,,,
Philosophical Studies,2024-03-17 11:18:21 UTC,Male,White,2,3,3,Non-tenure track faculty,Rejection,,5.0,,,
Synthese,2024-03-13 10:11:29 UTC,Male,,2,4,3,Non-tenure track faculty,Rejection,,11.0,,,
Philosophical Studies,2024-03-09 16:55:59 UTC,,,0,,4,Graduate student,Rejection,,0.5,,,
Philosophy and Public Affairs,2024-03-08 17:43:47 UTC,,,1,2,,Graduate student,Rejection,,2.5,,,
Philosophers' Imprint,2024-03-07 00:18:53 UTC,,,0,,3,Graduate student,Rejection,,0.1,,,
Philosophical Studies,2024-03-06 12:49:59 UTC,,,1,5,3,Tenure track faculty,Rejection,,8.0,,,
Philosophical Quarterly,2024-03-06 12:46:55 UTC,,,1,3,,Tenure track faculty,Rejection,,5.5,,,
Australasian Journal of Philosophy,2024-03-06 12:44:43 UTC,,,2,4,5,Tenure track faculty,Revise and resubmit,Acceptance,4.8,,,
Nous,2024-03-05 19:58:00 UTC,,,0,,,Graduate student,Rejection,,2.0,,,
Philosophy,2024-03-05 12:36:30 UTC,Male,White,0,,1,Tenured faculty,Withdraw,,7.0,,,The irresponsible editorial assistant didn't reply to emails. I had to withdraw my paper despite having wasted seven months there.
