"id","Journal_name","Create_date","Gender","Demographics","Comment_count","Comment_quality","Editor_experience","Professional_status","Verdict","Second_verdict","Response_time"
1,"Journal of Ethics & Social Philosophy","2024-03-26 17:10:35 UTC","Male","White",0,"","1","Non-tenure track faculty","Rejection","",2.0
2,"Philosophical Studies","2024-03-26 17:09:05 UTC","Male","White",1,"1","2","Other","Rejection","",3.0
3,"Mind and Language","2024-03-26 14:02:55 UTC","Male","White",2,"2","1","Adjunct","Rejection","",6.0
4,"Philosophia","2024-03-25 19:46:06 UTC","","",0,"","3","Graduate student","Rejection","",4.0
5,"Synthese","2024-03-25 19:45:08 UTC","","",0,"","5","Graduate student","Rejection","",0.1
7,"Journal of the American Philosophical Association","2024-03-24 22:19:43 UTC","Male","Asian",3,"4","5","Graduate student","Rejection","",3.66
9,"Nous","2024-03-24 16:12:32 UTC","Male","Middle Eastern/North African",0,"","1","Graduate student","Rejection","",2.0
10,"Philosophy and Phenomenological Research","2024-03-24 16:11:48 UTC","Male","Middle Eastern/North African",0,"","1","Graduate student","Rejection","",2.0
11,"Philosophy and Phenomenological Research","2024-03-24 08:18:44 UTC","Male","White",0,"","2","Graduate student","Rejection","",2.0
12,"Australasian Journal of Philosophy","2024-03-21 16:13:31 UTC","Male","White",0,"","2","Non-tenure track faculty","Withdraw","",13.0
13,"Philosophical Quarterly","2024-03-21 12:21:58 UTC","Male","Middle Eastern/North African",2,"1","5","Other","Rejection","",0.5
14,"Acta Analytica","2024-03-21 07:02:47 UTC","Male","Asian",1,"4","4","Non-tenure track faculty","Rejection","",3.0
16,"Philosophical Studies","2024-03-18 17:40:55 UTC","Female","White",2,"3","3","Tenured faculty","Revise and resubmit","Rejection",6.0
17,"Review of Metaphysics","2024-03-18 01:26:32 UTC","","",1,"3","1","Non-tenure track faculty","Rejection","",12.0
18,"Philosophical Studies","2024-03-17 11:18:21 UTC","Male","White",2,"3","3","Non-tenure track faculty","Rejection","",5.0
19,"Synthese","2024-03-13 10:11:29 UTC","Male","",2,"4","3","Non-tenure track faculty","Rejection","",11.0
20,"Philosophical Studies","2024-03-09 16:55:59 UTC","","",0,"","4","Graduate student","Rejection","",0.5
21,"Philosophy and Public Affairs","2024-03-08 17:43:47 UTC","","",1,"2","","Graduate student","Rejection","",2.5
22,"Philosophers' Imprint","2024-03-07 00:18:53 UTC","","",0,"","3","Graduate student","Rejection","",0.1
23,"Philosophical Studies","2024-03-06 12:49:59 UTC","","",1,"5","3","Tenure track faculty","Rejection","",8.0
24,"Philosophical Quarterly","2024-03-06 12:46:55 UTC","","",1,"3","","Tenure track faculty","Rejection","",5.5
25,"Australasian Journal of Philosophy","2024-03-06 12:44:43 UTC","","",2,"4","5","Tenure track faculty","Revise and resubmit","Acceptance",4.8
26,"Nous","2024-03-05 19:58:00 UTC","","",0,"","","Graduate student","Rejection","",2.0
27,"Philosophy","2024-03-05 12:36:30 UTC","Male","White",0,"","1","Tenured faculty","Withdraw","",7.0
28,"American Philosophical Quarterly","2024-03-05 09:59:58 UTC","","",1,"3","5","Tenure track faculty","Rejection","",2.1
29,"Analysis","2024-03-05 09:59:05 UTC","","",2,"4","5","Tenure track faculty","Rejection","",1.2
30,"Nous","2024-03-04 19:23:59 UTC","","",0,"","3","Graduate student","Rejection","",3.0
31,"Analysis","2024-03-04 16:10:57 UTC","Male","Asian",1,"1","5","Graduate student","Rejection","",2.8
32,"Philosophy and Phenomenological Research","2024-03-04 08:35:36 UTC","Male","White",0,"","3","Non-tenure track faculty","Rejection","",2.0
33,"Journal of Value Inquiry","2024-03-02 22:00:11 UTC","Male","White",2,"4","4","Non-tenure track faculty","Rejection","",2.0
34,"Erkenntnis","2024-03-01 15:31:08 UTC","Male","White",2,"5","3","Non-tenure track faculty","Rejection","",6.0
35,"Philosophical Studies","2024-03-01 06:03:35 UTC","Male","White",1,"2","1","Tenured faculty","Rejection","",3.0
36,"European Journal of Philosophy","2024-02-27 16:58:23 UTC","Male","White",1,"5","5","Graduate student","Revise and resubmit","Acceptance",6.0
37,"Southern Journal of Philosophy","2024-02-27 08:41:09 UTC","Male","White, Other race/ethnicity",3,"3","5","Graduate student","Rejection","",7.0
38,"Journal of Philosophy","2024-02-26 00:29:21 UTC","Male","White",1,"2","2","Graduate student","Rejection","",7.83
39,"Analysis","2024-02-23 21:21:14 UTC","","",2,"3","2","Non-tenure track faculty","Revise and resubmit","Acceptance",1.0
40,"European Journal of Philosophy","2024-02-23 16:36:34 UTC","Female","White",1,"4","3","Tenured faculty","Revise and resubmit","Acceptance",6.0
41,"Ethical Theory and Moral Practice","2024-02-22 18:49:16 UTC","Male","Indigenous North, Central or South American, White",0,"","5","Non-tenure track faculty","Rejection","",0.3
42,"Philosophical Studies","2024-02-21 05:02:49 UTC","","",2,"2","3","Non-tenure track faculty","Rejection","",10.0
43,"Australasian Journal of Philosophy","2024-02-20 12:42:07 UTC","","",2,"5","5","Graduate student","Revise and resubmit","Acceptance",4.3
44,"Nous","2024-02-17 14:10:55 UTC","","",0,"","3","Graduate student","Rejection","",2.0
46,"Ergo","2024-02-14 21:18:41 UTC","","",0,"","5","Non-tenure track faculty","Rejection","",0.25
47,"Law and Philosophy","2024-02-14 21:18:12 UTC","","",2,"4","5","Non-tenure track faculty","Rejection","",2.5
48,"Canadian Journal of Philosophy","2024-02-14 21:17:08 UTC","","",1,"5","5","Non-tenure track faculty","Rejection","",0.75
49,"Ergo","2024-02-14 03:04:06 UTC","Something else","Asian",1,"1","1","Graduate student","Rejection","",1.3
51,"Analysis","2024-02-12 16:40:57 UTC","Male","Indigenous North, Central or South American, White",0,"","5","Non-tenure track faculty","Rejection","",0.5
52,"Nous","2024-02-12 01:23:27 UTC","","",0,"","2","Non-tenure track faculty","Rejection","",2.2
53,"Philosophical Studies","2024-02-11 12:20:16 UTC","Male","White",1,"2","1","Tenure track faculty","Rejection","",7.5
54,"Philosophy and Phenomenological Research","2024-02-10 16:46:56 UTC","","",0,"","3","Graduate student","Rejection","",2.5
55,"Ethics","2024-02-10 15:38:29 UTC","Male","Asian",0,"","2","Tenure track faculty","Rejection","",4.0
56,"Analysis","2024-02-09 16:24:28 UTC","Male","White",2,"4","3","Non-tenure track faculty","Revise and resubmit","Rejection",3.0
57,"Politics, Philosophy & Economics","2024-02-09 12:23:21 UTC","Male","White",2,"4","5","Graduate student","Rejection","",2.0
58,"Inquiry","2024-02-08 17:11:37 UTC","Male","White",2,"5","4","Non-tenure track faculty","Revise and resubmit","Acceptance",4.0
59,"Journal of Applied Philosophy","2024-02-05 16:12:57 UTC","Prefer not to answer","Other race/ethnicity",1,"2","3","Graduate student","Rejection","",2.0
